Horizon	Eff_Quality	Eff_SwitchingCost	Eff_SolvingTime	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	SwitchingCost	Horizon
-1	0	0	0	FORWARD	MGM	ONLINE	10	20.0	10
0	4622.2	0	1110	FORWARD	MGM	ONLINE	10	20.0	10
1	4112.2	200	10	FORWARD	MGM	ONLINE	10	20.0	10
2	4507.8	280	0	FORWARD	MGM	ONLINE	10	20.0	10
3	4508	0	0	FORWARD	MGM	ONLINE	10	20.0	10
4	4646	200	10	FORWARD	MGM	ONLINE	10	20.0	10
5	4267	0	0	FORWARD	MGM	ONLINE	10	20.0	10
6	4659.6	120	0	FORWARD	MGM	ONLINE	10	20.0	10
7	4644	240	0	FORWARD	MGM	ONLINE	10	20.0	10
8	4608	320	0	FORWARD	MGM	ONLINE	10	20.0	10
9	4436.4	0	0	FORWARD	MGM	ONLINE	10	20.0	10
10	4448	0	10	FORWARD	MGM	ONLINE	10	20.0	10
