,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000
0,29454946.00000006,29259498.00000006,29064050.00000006,28868602.00000006,28673154.00000006,28477706.00000006,28282258.00000006,28086810.00000006,27891362.00000006,27695914.00000006,27500466.00000006,27305018.00000006,27109570.00000006,26914122.00000006,26718674.00000006,26523226.00000006,26327778.00000006,26132330.00000006,25936882.00000006,25741434.00000006,25545986.00000006
2,29023080.00000006,28810832.00000006,28598584.00000006,28386336.00000006,28174088.00000006,27961840.00000006,27749592.00000006,27537344.00000006,27325096.00000006,27112848.00000006,26900600.00000006,26688352.00000006,26476104.00000006,26263856.00000006,26051608.00000006,25839360.00000006,25627112.00000006,25414864.00000006,25202616.00000006,24990368.00000006,24778120.00000006
4,29193866.00000006,28997218.00000006,28800570.00000006,28603922.00000006,28407274.00000006,28210626.00000006,28013978.00000006,27817330.00000006,27620682.00000006,27424034.00000006,27227386.00000006,27030738.00000006,26834090.00000006,26637442.00000006,26440794.00000006,26244146.00000006,26047498.00000006,25850850.00000006,25654202.00000006,25457554.00000006,25260906.00000006
6,30150606.00000006,29969558.00000006,29788510.00000006,29607462.00000006,29426414.00000006,29245366.00000006,29064318.00000006,28883270.00000006,28702222.00000006,28521174.00000006,28340126.00000006,28159078.00000006,27978030.00000006,27796982.00000006,27615934.00000006,27434886.00000006,27253838.00000006,27072790.00000006,26891742.00000006,26710694.00000006,26529646.00000006
8,32834090.00000006,32779850.00000006,32725610.00000006,32671370.00000006,32617130.00000006,32562890.00000006,32508650.00000006,32454410.00000006,32400170.00000006,32345930.00000006,32291690.00000006,32237450.00000006,32183210.00000006,32128970.00000006,32074730.00000006,32020490.00000006,31966250.00000006,31912010.00000006,31857770.00000006,31803530.00000006,31749290.00000006
10,32808436.00000006,32771796.00000006,32735156.00000006,32698516.00000006,32661876.00000006,32625236.00000006,32588596.00000006,32551956.00000006,32515316.00000006,32478676.00000006,32442036.00000006,32405396.00000006,32368756.00000006,32332116.00000006,32295476.00000006,32258836.00000006,32222196.00000006,32185556.00000006,32148916.00000006,32112276.00000006,32075636.00000006
