,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000
0,-2633539.226666667,-2765225.3600000003,-2896911.4933333336,-3028597.626666667,-3160283.7600000002,-3291969.8933333335,-3423656.026666667,-3555342.1600000006,-3687028.293333334,-3818714.426666667,-3950400.5600000005,-4082086.693333334,-4213772.826666667,-4345458.959999999,-4477145.093333333,-4608831.226666666,-4740517.359999999,-4872203.493333333,-5003889.626666666,-5135575.76,-5267261.893333333
2,-2661158.8,-2794216.3,-2927273.8,-3060331.3,-3193388.8,-3326446.3,-3459503.8,-3592561.3,-3725618.8,-3858676.3,-3991733.8,-4124791.3,-4257848.8,-4390906.3,-4523963.8,-4657021.3,-4790078.8,-4923136.3,-5056193.8,-5189251.3,-5322308.8
4,-2439550.8733333335,-2561567.606666667,-2683584.3400000003,-2805601.0733333332,-2927617.8066666666,-3049634.54,-3171651.2733333334,-3293668.006666667,-3415684.74,-3537701.4733333336,-3659718.2066666665,-3781734.94,-3903751.6733333333,-4025768.4066666663,-4147785.1399999997,-4269801.873333333,-4391818.606666666,-4513835.34,-4635852.073333333,-4757868.806666667,-4879885.54
6,-2505435.68,-2630702.2133333334,-2755968.746666667,-2881235.2800000003,-3006501.8133333335,-3131768.3466666667,-3257034.8800000004,-3382301.4133333336,-3507567.946666667,-3632834.48,-3758101.0133333337,-3883367.546666667,-4008634.08,-4133900.6133333337,-4259167.146666666,-4384433.679999999,-4509700.213333333,-4634966.746666666,-4760233.279999999,-4885499.813333333,-5010766.346666666
8,-2365934.786666667,-2484268.086666667,-2602601.3866666676,-2720934.6866666675,-2839267.9866666673,-2957601.2866666676,-3075934.586666667,-3194267.886666667,-3312601.186666667,-3430934.486666667,-3549267.786666667,-3667601.0866666674,-3785934.3866666676,-3904267.6866666675,-4022600.9866666673,-4140934.2866666676,-4259267.586666668,-4377600.886666668,-4495934.186666667,-4614267.486666666,-4732600.786666666
10,-1791828.2066666668,-1881399.5066666668,-1970970.8066666669,-2060542.1066666667,-2150113.4066666667,-2239684.7066666665,-2329256.006666667,-2418827.3066666666,-2508398.606666667,-2597969.9066666667,-2687541.206666666,-2777112.5066666664,-2866683.806666666,-2956255.1066666665,-3045826.4066666663,-3135397.706666666,-3224969.0066666673,-3314540.306666667,-3404111.6066666674,-3493682.906666667,-3583254.2066666675
