,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000
0,22317887.166666668,22152491.433333334,21987095.7,21821699.966666665,21656304.233333334,21490908.5,21325512.766666666,21160117.033333335,20994721.3,20829325.566666666,20663929.833333332,20498534.1,20333138.366666667,20167742.633333333,20002346.9,19836951.166666668,19671555.433333334,19506159.7,19340763.966666665,19175368.233333334,19009972.5
10,24721435.846666668,24682144.446666665,24642853.046666667,24603561.646666665,24564270.246666666,24524978.846666668,24485687.446666665,24446396.046666667,24407104.646666665,24367813.246666666,24328521.846666668,24289230.446666665,24249939.046666667,24210647.646666665,24171356.246666666,24132064.846666668,24092773.446666665,24053482.046666667,24014190.646666665,23974899.246666666,23935607.846666668
20,26922914.04666667,26993609.080000002,27064304.113333337,27134999.14666667,27205694.180000003,27276389.213333335,27347084.24666667,27417779.280000005,27488474.313333336,27559169.34666667,27629864.380000003,27700559.413333338,27771254.44666667,27841949.480000004,27912644.513333336,27983339.54666667,28054034.580000002,28124729.613333337,28195424.64666667,28266119.680000003,28336814.713333335
30,29280388.69333334,29480827.726666674,29681266.760000005,29881705.79333334,30082144.82666667,30282583.860000007,30483022.89333334,30683461.926666673,30883900.960000005,31084339.99333334,31284779.026666675,31485218.060000006,31685657.09333334,31886096.126666673,32086535.160000008,32286974.19333334,32487413.226666674,32687852.260000005,32888291.29333334,33088730.32666667,33289169.360000007
40,31849886.206666663,32178591.906666663,32507297.606666666,32836003.306666665,33164709.006666664,33493414.706666663,33822120.406666666,34150826.10666667,34479531.806666665,34808237.50666667,35136943.20666667,35465648.906666666,35794354.60666667,36123060.30666668,36451766.006666675,36780471.70666668,37109177.40666667,37437883.10666668,37766588.80666668,38095294.506666675,38424000.20666668
50,34508169.00000001,34965141.36666667,35422113.733333334,35879086.10000001,36336058.466666676,36793030.83333334,37250003.20000001,37706975.56666668,38163947.933333345,38620920.300000004,39077892.66666667,39534865.03333334,39991837.400000006,40448809.76666667,40905782.13333334,41362754.50000001,41819726.866666675,42276699.23333334,42733671.60000001,43190643.966666676,43647616.33333334
60,37065011.25333334,37650250.28666667,38235489.32000001,38820728.35333334,39405967.38666666,39991206.419999994,40576445.45333333,41161684.486666664,41746923.519999996,42332162.55333333,42917401.586666666,43502640.62,44087879.65333333,44673118.68666666,45258357.72,45843596.75333333,46428835.78666666,47014074.82,47599313.85333334,48184552.88666667,48769791.92
70,39533620.30666666,40247126.00666666,40960631.70666666,41674137.406666666,42387643.10666667,43101148.806666665,43814654.50666667,44528160.20666667,45241665.906666666,45955171.60666667,46668677.306666665,47382183.00666667,48095688.70666667,48809194.406666666,49522700.10666667,50236205.806666665,50949711.50666667,51663217.20666667,52376722.906666666,53090228.60666667,53803734.306666665
80,42211659.779999994,43053432.14666666,43895204.513333336,44736976.88,45578749.24666667,46420521.61333334,47262293.980000004,48104066.34666667,48945838.71333334,49787611.080000006,50629383.44666667,51471155.81333334,52312928.18,53154700.54666665,53996472.913333334,54838245.28,55680017.64666667,56521790.013333336,57363562.38,58205334.74666667,59047107.11333334
90,44733357.38666666,45703396.419999994,46673435.45333333,47643474.486666664,48613513.519999996,49583552.55333333,50553591.586666666,51523630.62,52493669.65333333,53463708.68666666,54433747.72,55403786.75333333,56373825.78666666,57343864.82,58313903.85333333,59283942.88666666,60253981.919999994,61224020.95333333,62194059.986666664,63164099.019999996,64134138.05333333
100,47410121.173333324,48508426.87333333,49606732.57333333,50705038.273333326,51803343.97333333,52901649.673333324,53999955.373333335,55098261.07333334,56196566.77333333,57294872.47333334,58393178.17333333,59491483.873333335,60589789.57333334,61688095.27333333,62786400.97333334,63884706.67333333,64983012.373333335,66081318.07333334,67179623.77333334,68277929.47333333,69376235.17333333
