,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000
0,-2806986.4033333343,-2947339.9033333343,-3087693.4033333343,-3228046.9033333343,-3368400.4033333343,-3508753.9033333343,-3649107.403333334,-3789460.903333334,-3929814.403333334,-4070167.903333333,-4210521.403333333,-4350874.903333333,-4491228.403333332,-4631581.903333332,-4771935.403333332,-4912288.903333332,-5052642.403333332,-5192995.903333332,-5333349.403333332,-5473702.903333332,-5614056.403333332
10,-1633347.686666667,-1715014.6200000003,-1796681.5533333337,-1878348.486666667,-1960015.4200000004,-2041682.3533333337,-2123349.286666667,-2205016.22,-2286683.153333334,-2368350.086666667,-2450017.0200000005,-2531683.9533333336,-2613350.886666667,-2695017.8200000003,-2776684.7533333343,-2858351.6866666675,-2940018.6200000006,-3021685.553333334,-3103352.4866666673,-3185019.420000001,-3266686.353333334
20,372515.4,391130.0,409744.6,428359.2,446973.8,465588.4,484203.0000000005,502817.6000000005,521432.2000000005,540046.8000000005,558661.4000000005,577276.0,595890.6,614505.1999999995,633119.7999999995,651734.4,670349.0,688963.6,707578.2,726192.8,744807.4
30,1100186.8599999994,1155147.7599999993,1210108.6599999995,1265069.5599999994,1320030.4599999995,1374991.3599999994,1429952.26,1484913.16,1539874.0599999998,1594834.96,1649795.8599999999,1704756.7599999993,1759717.6599999995,1814678.5599999994,1869639.4599999995,1924600.3599999994,1979561.2599999993,2034522.1599999995,2089483.0599999994,2144443.9599999995,2199404.8599999994
40,1464237.7600000005,1537448.0933333337,1610658.426666667,1683868.7600000005,1757079.0933333337,1830289.426666667,1903499.760000001,1976710.0933333342,2049920.4266666675,2123130.7600000007,2196341.093333334,2269551.4266666677,2342761.7600000002,2415972.0933333337,2489182.426666667,2562392.7600000002,2635603.0933333337,2708813.426666667,2782023.7600000002,2855234.0933333337,2928444.426666667
50,585604.2866666665,614906.9533333331,644209.6199999998,673512.2866666665,702814.9533333331,732117.6199999998,761420.2866666674,790722.9533333342,820025.6200000008,849328.2866666674,878630.9533333342,907933.6200000008,937236.2866666674,966538.9533333342,995841.6200000003,1025144.2866666679,1054446.953333334,1083749.6200000008,1113052.2866666676,1142354.9533333331,1171657.6200000008
60,558233.9766666666,586129.3433333333,614024.7099999998,641920.0766666665,669815.4433333332,697710.8099999999,725606.176666666,753501.5433333328,781396.9099999995,809292.276666666,837187.6433333332,865083.0099999999,892978.3766666666,920873.7433333333,948769.1099999999,976664.4766666666,1004559.8433333337,1032455.2100000004,1060350.5766666671,1088245.9433333338,1116141.3100000003
70,424192.5600000004,445382.7266666671,466572.8933333337,487763.0600000004,508953.2266666671,530143.3933333338,551333.5600000004,572523.726666667,593713.8933333338,614904.0600000004,636094.2266666676,657284.3933333342,678474.5600000004,699664.726666667,720854.8933333332,742045.0599999999,763235.2266666666,784425.3933333338,805615.5600000004,826805.726666667,847995.8933333347
80,541252.0333333333,568300.2,595348.3666666667,622396.5333333333,649444.7,676492.8666666667,703541.0333333329,730589.1999999995,757637.3666666661,784685.5333333329,811733.7,838781.8666666667,865830.0333333344,892878.200000001,919926.3666666676,946974.5333333344,974022.7000000015,1001070.8666666676,1028119.0333333344,1055167.200000001,1082215.3666666676
90,866549.4733333334,909866.7066666668,953183.9400000001,996501.1733333335,1039818.4066666667,1083135.6400000001,1126452.8733333328,1169770.1066666662,1213087.3399999996,1256404.573333333,1299721.8066666669,1343039.04,1386356.2733333334,1429673.5066666668,1472990.74,1516307.9733333334,1559625.2066666663,1602942.4399999997,1646259.6733333329,1689576.9066666663,1732894.1399999997
100,999670.5466666664,1049663.7133333331,1099656.8799999997,1149650.0466666664,1199643.2133333331,1249636.3799999997,1299629.546666666,1349622.7133333324,1399615.8799999992,1449609.046666666,1499602.2133333331,1549595.3799999997,1599588.5466666664,1649581.7133333331,1699574.8799999997,1749568.0466666664,1799561.2133333336,1849554.3800000001,1899547.5466666669,1949540.7133333336,1999533.8800000001
