,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000
0,28806946.00000006,28579098.00000006,28351250.00000006,28123402.00000006,27895554.00000006,27667706.00000006,27439858.00000006,27212010.00000006,26984162.00000006,26756314.00000006,26528466.00000006,26300618.00000006,26072770.00000006,25844922.00000006,25617074.00000006,25389226.00000006,25161378.00000006,24933530.00000006,24705682.00000006,24477834.00000006,24249986.00000006
2,29023080.00000006,28810832.00000006,28598584.00000006,28386336.00000006,28174088.00000006,27961840.00000006,27749592.00000006,27537344.00000006,27325096.00000006,27112848.00000006,26900600.00000006,26688352.00000006,26476104.00000006,26263856.00000006,26051608.00000006,25839360.00000006,25627112.00000006,25414864.00000006,25202616.00000006,24990368.00000006,24778120.00000006
4,29193866.00000006,28997218.00000006,28800570.00000006,28603922.00000006,28407274.00000006,28210626.00000006,28013978.00000006,27817330.00000006,27620682.00000006,27424034.00000006,27227386.00000006,27030738.00000006,26834090.00000006,26637442.00000006,26440794.00000006,26244146.00000006,26047498.00000006,25850850.00000006,25654202.00000006,25457554.00000006,25260906.00000006
6,33301966.00000006,33278486.00000006,33255006.00000006,33231526.00000006,33208046.00000006,33184566.00000006,33161086.00000006,33137606.00000006,33114126.00000006,33090646.00000006,33067166.00000006,33043686.00000006,33020206.00000006,32996726.00000006,32973246.00000006,32949766.00000006,32926286.00000006,32902806.00000006,32879326.00000006,32855846.00000006,32832366.00000006
8,33278490.00000006,33246470.00000006,33214450.00000006,33182430.00000006,33150410.00000006,33118390.00000006,33086370.00000006,33054350.00000006,33022330.00000006,32990310.00000006,32958290.00000006,32926270.00000006,32894250.00000006,32862230.00000006,32830210.00000006,32798190.00000006,32766170.00000006,32734150.00000006,32702130.00000006,32670110.00000006,32638090.00000006
10,31026836.00000006,30901116.00000006,30775396.00000006,30649676.00000006,30523956.00000006,30398236.00000006,30272516.00000006,30146796.00000006,30021076.00000006,29895356.00000006,29769636.00000006,29643916.00000006,29518196.00000006,29392476.00000006,29266756.00000006,29141036.00000006,29015316.00000006,28889596.00000006,28763876.00000006,28638156.00000006,28512436.00000006
