,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000
0,22317887.166666668,22152491.433333334,21987095.7,21821699.966666665,21656304.233333334,21490908.5,21325512.766666666,21160117.033333335,20994721.3,20829325.566666666,20663929.833333332,20498534.1,20333138.366666667,20167742.633333333,20002346.9,19836951.166666668,19671555.433333334,19506159.7,19340763.966666665,19175368.233333334,19009972.5
2,22843010.466666665,22703579.8,22564149.133333333,22424718.466666665,22285287.8,22145857.133333333,22006426.466666665,21866995.8,21727565.133333333,21588134.466666665,21448703.8,21309273.133333333,21169842.466666665,21030411.8,20890981.133333333,20751550.466666665,20612119.8,20472689.133333333,20333258.466666665,20193827.8,20054397.133333333
4,23169133.813333333,23052932.279999997,22936730.746666666,22820529.21333333,22704327.68,22588126.146666665,22471924.613333333,22355723.08,22239521.546666667,22123320.01333333,22007118.48,21890916.946666665,21774715.413333334,21658513.88,21542312.346666668,21426110.813333333,21309909.279999997,21193707.746666666,21077506.21333333,20961304.68,20845103.146666665
6,23914034.413333334,23824790.48,23735546.546666667,23646302.613333333,23557058.68,23467814.746666666,23378570.813333333,23289326.880000003,23200082.94666667,23110839.013333336,23021595.080000002,22932351.14666667,22843107.213333335,22753863.280000005,22664619.34666667,22575375.413333338,22486131.480000004,22396887.54666667,22307643.613333337,22218399.680000003,22129155.74666667
8,24455584.42666667,24396622.76,24337661.093333337,24278699.42666667,24219737.76,24160776.093333337,24101814.42666667,24042852.76,23983891.093333337,23924929.42666667,23865967.759999998,23807006.09333333,23748044.426666666,23689082.759999998,23630121.09333333,23571159.426666666,23512197.759999998,23453236.093333337,23394274.42666667,23335312.76,23276351.093333337
10,24721435.846666668,24682144.446666665,24642853.046666667,24603561.646666665,24564270.246666666,24524978.846666668,24485687.446666665,24446396.046666667,24407104.646666665,24367813.246666666,24328521.846666668,24289230.446666665,24249939.046666667,24210647.646666665,24171356.246666666,24132064.846666668,24092773.446666665,24053482.046666667,24014190.646666665,23974899.246666666,23935607.846666668
