,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000
0,179407752.8,179196444.8,178985136.8,178773828.8,178562520.8,178351212.8,178139904.8,177928596.8,177717288.8,177505980.8,177294672.8
2,178973479.8,178748171.8,178522863.8,178297555.8,178072247.8,177846939.8,177621631.8,177396323.8,177171015.8,176945707.8,176720399.8
4,178437787.0,178230879.0,178023971.0,177817063.0,177610155.0,177403247.0,177196339.0,176989431.0,176782523.0,176575615.0,176368707.0
6,180613643.0,180425135.0,180236627.0,180048119.0,179859611.0,179671103.0,179482595.0,179294087.0,179105579.0,178917071.0,178728563.0
8,184583932.6,184525032.6,184466132.6,184407232.6,184348332.6,184289432.6,184230532.6,184171632.6,184112732.6,184053832.6,183994932.6
10,182370488.6,182331988.6,182293488.6,182254988.6,182216488.6,182177988.6,182139488.6,182100988.6,182062488.6,182023988.6,181985488.6
