,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000
0,-2633539.226666667,-2765225.3600000003,-2896911.4933333336,-3028597.626666667,-3160283.7600000002,-3291969.8933333335,-3423656.026666667,-3555342.1600000006,-3687028.293333334,-3818714.426666667,-3950400.5600000005,-4082086.693333334,-4213772.826666667,-4345458.959999999,-4477145.093333333,-4608831.226666666,-4740517.359999999,-4872203.493333333,-5003889.626666666,-5135575.76,-5267261.893333333
10,-1791828.2066666668,-1881399.5066666668,-1970970.8066666669,-2060542.1066666667,-2150113.4066666667,-2239684.7066666665,-2329256.006666667,-2418827.3066666666,-2508398.606666667,-2597969.9066666667,-2687541.206666666,-2777112.5066666664,-2866683.806666666,-2956255.1066666665,-3045826.4066666663,-3135397.706666666,-3224969.0066666673,-3314540.306666667,-3404111.6066666674,-3493682.906666667,-3583254.2066666675
20,487875.9266666666,512326.39333333325,536776.8599999999,561227.3266666665,585677.7933333332,610128.2599999999,634578.726666667,659029.1933333332,683479.6599999999,707930.1266666666,732380.5933333333,756831.0599999999,781281.526666666,805731.9933333327,830182.4599999994,854632.926666666,879083.3933333327,903533.8599999994,927984.3266666661,952434.7933333328,976885.2599999994
30,1674368.7533333332,1758131.5199999998,1841894.2866666664,1925657.0533333337,2009419.8200000003,2093182.586666667,2176945.353333334,2260708.12,2344470.886666667,2428233.653333334,2511996.4200000004,2595759.186666667,2679521.9533333336,2763284.72,2847047.4866666673,2930810.2533333343,3014573.020000001,3098335.7866666676,3182098.553333333,3265861.32,3349624.0866666664
40,1790520.4,1880019.9333333333,1969519.4666666666,2059019.0,2148518.533333333,2238018.066666667,2327517.6000000006,2417017.133333334,2506516.666666667,2596016.2000000007,2685515.733333334,2775015.266666667,2864514.8000000003,2954014.333333334,3043513.8666666676,3133013.400000001,3222512.9333333345,3312012.4666666677,3401512.0,3491011.533333333,3580511.066666667
50,1059522.6066666667,1112516.9733333334,1165511.34,1218505.7066666672,1271500.073333334,1324494.4400000006,1377488.8066666673,1430483.173333334,1483477.5400000005,1536471.9066666672,1589466.273333334,1642460.6400000006,1695455.0066666673,1748449.373333334,1801443.7400000007,1854438.1066666672,1907432.473333333,1960426.8399999996,2013421.2066666654,2066415.5733333318,2119409.9399999985
60,1344660.3733333335,1411892.3066666669,1479124.24,1546356.1733333333,1613588.1066666667,1680820.04,1748051.9733333339,1815283.9066666672,1882515.8400000005,1949747.773333334,2016979.7066666672,2084211.6400000006,2151443.5733333337,2218675.5066666673,2285907.4400000004,2353139.373333334,2420371.306666667,2487603.2400000007,2554835.173333333,2622067.1066666665,2689299.0399999996
70,610701.4733333329,641187.273333333,671673.0733333329,702158.873333333,732644.673333333,763130.4733333329,793616.2733333334,824102.0733333335,854587.8733333334,885073.6733333339,915559.473333334,946045.2733333339,976531.0733333335,1007016.8733333334,1037502.6733333339,1067988.4733333339,1098474.273333334,1128960.073333334,1159445.8733333328,1189931.673333334,1220417.4733333339
80,485610.3400000001,509890.9400000001,534171.5400000002,558452.1400000001,582732.7400000001,607013.3400000001,631293.9400000006,655574.5400000006,679855.1400000006,704135.7400000006,728416.3400000005,752696.9400000006,776977.5400000006,801258.1400000006,825538.740000001,849819.3400000011,874099.9400000006,898380.5400000006,922661.1399999995,946941.7399999996,971222.3399999996
90,379234.6799999997,398186.1466666664,417137.61333333305,436089.0799999997,455040.54666666634,473992.013333333,492943.4800000002,511894.9466666669,530846.4133333336,549797.8800000002,568749.3466666669,587700.8133333336,606652.2800000001,625603.7466666668,644555.2133333341,663506.6800000007,682458.1466666679,701409.6133333346,720361.0800000002,739312.5466666669,758264.0133333335
100,1296422.76,1361246.4266666665,1426070.0933333333,1490893.76,1555717.4266666665,1620541.0933333333,1685364.7600000005,1750188.426666667,1815012.0933333337,1879835.7600000005,1944659.426666667,2009483.0933333337,2074306.7600000005,2139130.426666667,2203954.093333334,2268777.7600000007,2333601.426666667,2398425.0933333337,2463248.7599999993,2528072.4266666663,2592896.093333333
