,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000
0,13032231.824,12871002.123999998,12709772.423999999,12548542.724,12387313.023999998,12226083.324000001,12064853.624000002,11903623.924,11742394.224000001,11581164.524,11419934.824000001,11258705.124000002,11097475.424,10936245.724000001,10775016.024,10613786.324000001,10452556.624,10291326.924,10130097.224,9968867.524,9807637.824
2,13674853.038000003,13536114.298,13397375.558000002,13258636.818000002,13119898.078000002,12981159.338000001,12842420.598000001,12703681.858000003,12564943.118000003,12426204.378000002,12287465.638000002,12148726.898000002,12009988.158000002,11871249.418000001,11732510.678000001,11593771.938000001,11455033.198000003,11316294.458000002,11177555.718000002,11038816.978000002,10900078.238000002
4,14244594.224000001,14126829.564000001,14009064.904000001,13891300.244,13773535.584,13655770.924,13538006.264,13420241.604,13302476.944,13184712.284000002,13066947.624000002,12949182.964000002,12831418.304000001,12713653.644,12595888.984,12478124.324,12360359.663999999,12242595.003999999,12124830.343999999,12007065.683999998,11889301.023999998
6,15021486.666000003,14926943.446000002,14832400.226000002,14737857.006000001,14643313.786000002,14548770.566000002,14454227.346,14359684.126000004,14265140.906000003,14170597.686000004,14076054.466000004,13981511.246000003,13886968.026000004,13792424.806000004,13697881.586000003,13603338.366000004,13508795.146000003,13414251.926000005,13319708.706000004,13225165.486000003,13130622.266000004
8,15620868.818,15545665.998,15470463.178,15395260.358,15320057.538000003,15244854.718000002,15169651.898000002,15094449.078000002,15019246.258000001,14944043.438000001,14868840.618000003,14793637.798000002,14718434.978000002,14643232.158000002,14568029.338000001,14492826.518,14417623.697999999,14342420.877999999,14267218.058,14192015.238,14116812.418
10,16134266.32,16079737.499999998,16025208.679999998,15970679.859999998,15916151.04,15861622.22,15807093.4,15752564.58,15698035.76,15643506.94,15588978.12,15534449.3,15479920.48,15425391.66,15370862.84,15316334.02,15261805.2,15207276.38,15152747.56,15098218.74,15043689.92
