,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000
0,28806946.00000006,28579098.00000006,28351250.00000006,28123402.00000006,27895554.00000006,27667706.00000006,27439858.00000006,27212010.00000006,26984162.00000006,26756314.00000006,26528466.00000006,26300618.00000006,26072770.00000006,25844922.00000006,25617074.00000006,25389226.00000006,25161378.00000006,24933530.00000006,24705682.00000006,24477834.00000006,24249986.00000006
10,31026836.00000006,30901116.00000006,30775396.00000006,30649676.00000006,30523956.00000006,30398236.00000006,30272516.00000006,30146796.00000006,30021076.00000006,29895356.00000006,29769636.00000006,29643916.00000006,29518196.00000006,29392476.00000006,29266756.00000006,29141036.00000006,29015316.00000006,28889596.00000006,28763876.00000006,28638156.00000006,28512436.00000006
20,9145686.0,9250026.0,9354366.0,9458706.0,9563046.0,9667386.0,9771726.0,9876066.0,9980406.0,10084746.0,10189086.0,10293426.0,10397766.0,10502106.0,10606446.0,10710786.0,10815126.0,10919466.0,11023806.0,11128146.0,11232486.0
30,11332984.0,11547324.0,11761664.0,11976004.0,12190344.0,12404684.0,12619024.0,12833364.0,13047704.0,13262044.0,13476384.0,13690724.0,13905064.0,14119404.0,14333744.0,14548084.0,14762424.0,14976764.0,15191104.0,15405444.0,15619784.0
40,13518756.0,13843096.0,14167436.0,14491776.0,14816116.0,15140456.0,15464796.0,15789136.0,16113476.0,16437816.0,16762156.0,17086496.0,17410836.0,17879890.0,18421270.0,18962650.0,19504030.0,20045410.0,20586790.0,21128170.0,21669550.0
50,15808446.0,16242786.0,16677126.0,17111466.0,17545806.0,17980146.0,18414486.0,18865290.0,19567010.0,20268730.0,20970450.0,21672170.0,22373890.0,23075610.0,23777330.0,24479050.0,25180770.0,25882490.0,26584210.0,27285930.0,27987650.0
60,17988548.0,18532888.0,19077228.0,19732544.0,20594264.0,21455984.0,22317704.0,23179424.0,24041144.0,24902864.0,25764584.0,26626304.0,27488024.0,28349744.0,29211464.0,30073184.0,30934904.0,31796624.0,32658344.0,33520064.0,34381784.0
70,20350096.0,21371816.0,22393536.0,23415256.0,24436976.0,25458696.0,26480416.0,27502136.0,28523856.0,29545576.0,30567296.0,31589016.0,32610736.0,33632456.0,34654176.0,35675896.0,36697616.0,37719336.0,38741056.0,39762776.0,40784496.0
80,23558592.0,24740312.0,25922032.0,27103752.0,28285472.0,29467192.0,30648912.0,31830632.0,33012352.0,34194072.0,35375792.0,36557512.0,37739232.0,38920952.0,40102672.0,41284392.0,42466112.0,43647832.0,44829552.0,46011272.0,47192992.0
90,26746630.0,28088350.0,29430070.0,30771790.0,32113510.0,33455230.0,34796950.0,36138670.0,37480390.0,38822110.0,40163830.0,41505550.0,42847270.0,44188990.0,45530710.0,46872430.0,48214150.0,49555870.0,50897590.0,52239310.0,53581030.0
100,29954362.0,31456082.0,32957802.0,34459522.0,35961242.0,37462962.0,38964682.0,40466402.0,41968122.0,43469842.0,44971562.0,46473282.0,47975002.0,49476722.0,50978442.0,52480162.0,53981882.0,55483602.0,56985322.0,58487042.0,59988762.0
