Horizon	Eff_Quality	Eff_SwitchingCost	Eff_SolvingTime	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	SwitchingCost	Horizon
-1	-∞	0	0	REACT	DPOP	ONLINE	10	100.0	10
0	4464	2000	2160	REACT	DPOP	ONLINE	10	100.0	10
1	4374.8	2000	2040	REACT	DPOP	ONLINE	10	100.0	10
2	4409.2	400	2070	REACT	DPOP	ONLINE	10	100.0	10
3	4338.8	600	2080	REACT	DPOP	ONLINE	10	100.0	10
4	4316.8	0	2080	REACT	DPOP	ONLINE	10	100.0	10
5	4414	200	2050	REACT	DPOP	ONLINE	10	100.0	10
6	4194	600	2050	REACT	DPOP	ONLINE	10	100.0	10
7	4456	1000	2080	REACT	DPOP	ONLINE	10	100.0	10
8	4400	2000	2050	REACT	DPOP	ONLINE	10	100.0	10
9	4280.8	2000	2040	REACT	DPOP	ONLINE	10	100.0	10
10	4256	2000	2050	REACT	DPOP	ONLINE	10	100.0	10
